OBJID;BEGDA;ENDDA;STEXT
2272;01.10.2003;02.10.2011;ШЧ-11 Кошурниково
2273;01.10.2003;21.11.2011;ШЧ-12 Красноярск
2274;01.10.2003;01.09.2006;СВТЧ Красноярск
2275;01.10.2003;30.09.2009;Служба бухгалтерского и налогового учета
2278;01.10.2003;02.09.2007;Служба капитального строительства
2280;01.10.2003;31.12.2010;НОД-1 собственно
2281;01.10.2003;09.11.2007;УПЦ Абакан
2282;01.10.2003;01.12.2009;ДСО Абакан
2283;01.10.2003;30.06.2006;ИВЦ Абакан
2284;01.10.2003;31.12.2010;НОД-2 собственно
2703;01.01.2004;02.04.2007;Руководство
2704;01.01.2004;02.04.2007;Хозяйственная группа
2705;01.01.2004;02.04.2007;Группа системной поддержки (ГСП)
2706;01.01.2004;30.06.2011;Район контактной сети (Мариинск)
2707;01.01.2004;30.06.2011;Район контактной сети (Аверьяновка)
2708;01.01.2004;02.04.2007;Отдел 0ПР
2709;01.01.2004;23.09.2011;Район контактной сети (Тисуль)
2711;01.01.2004;14.07.2011;Район контактной сети (Каштан)
2713;01.01.2004;14.07.2011;Район контактной сети (Боготол)
2714;01.01.2004;02.04.2007;Отдел ОВС
2715;01.01.2004;30.06.2011;Район контактной сети (Критово)
2716;01.01.2004;02.04.2007;Отдел ЭКСПРЕСС
2717;01.01.2004;02.04.2007;Отдел ВЦТУ
2719;01.01.2004;31.12.2004;Аппарат управления
2719;01.01.2005;03.11.2007;Технический отдел
2720;01.01.2004;01.07.2011;ЭЧС-10 ст.Красноярск
2721;01.01.2004;30.09.2009;Ремонтно-ревизионный цех
2721;01.10.2009;14.07.2011;Ремонтно-ревизионный участок
2722;01.01.2004;30.09.2009;Механические мастерские
2722;01.10.2009;14.07.2011;Автотранспортный участок
2723;01.01.2004;30.06.2011;Район электрических сетей станции Ачинск
2724;01.01.2004;30.06.2011;Район электрических сетей станции Сон
2725;01.01.2004;14.07.2011;Район электрических сетей станции Ужур
2726;01.01.2004;31.05.2006;ЭЧС-6 ИНГОЛЬ
2726;01.06.2006;30.06.2011;Район электрических сетей станции Дубини
2727;01.01.2004;14.07.2011;Район электрических сетей станции Сурико
2728;01.01.2004;12.12.2011;Район электрических сетей станции Лес.-к
2729;01.01.2004;02.04.2007;Отдел АБМ
2730;01.01.2004;01.09.2006;АТС-1
2732;01.01.2004;14.07.2011;Тяговая подстанция станции Зыково
2733;01.01.2004;30.06.2011;Тяговая подстанция станции Камарчага
2734;01.01.2004;30.06.2011;Тяговая подстанция станции Камала
2735;01.01.2004;27.08.2011;Район контактной сети станции Сорокино
2736;01.01.2004;22.07.2011;Район контактной сети станции Камарчага
2737;01.01.2004;02.12.2008;Электроремонтная мастерская
2738;01.01.2004;14.07.2011;ЭЧК-9 ст.Козулька
2739;01.01.2004;01.11.2006;ЭЧК-8 ст.Чернореченская
2740;01.01.2004;01.11.2006;ЭЧЭ-6 ст.Чернореченская
2741;01.01.2004;01.07.2011;ЭЧЭ-7 ст.Кемчуг
2742;01.01.2004;30.06.2011;Энергодиспетчерская группа
2743;01.01.2004;14.07.2011;Район контактной сети станции Уяр
2744;01.01.2004;30.06.2011;Район контактной сети станции Заозерная
2745;01.01.2004;22.07.2011;Район контактной сети станции Солянка
2746;01.01.2004;31.12.2008;Ремонтно-наладочный цех   ст.Уяр
2746;01.01.2009;31.05.2009;Дистанционная мастерская
2746;01.06.2009;30.06.2011;Автотранспортный участок станции Уяр
2747;01.01.2004;27.08.2011;Ремонтно-ревизионный участок станции Уяр
2748;01.01.2004;30.06.2011;ЭЧЭ-8 ст.Кача
2749;01.01.2004;30.06.2011;ЭЧЭ-9 ст.Бугач
2750;01.01.2004;13.07.2011;ЭЧК-10 ст.Кемчуг
2751;01.01.2004;14.07.2011;ЭЧК-12 ст.Минино
2752;01.01.2004;30.06.2011;ЭЧК-13 ст.Красноярск
2753;01.01.2004;22.07.2011;Район электроснабжения станции Уяр
2754;01.01.2004;01.11.2006;ЭЧК-7 ст.Ачинск
2755;01.01.2004;14.07.2011;ЭЧК-15 ст.Базаиха
2756;01.01.2004;22.07.2011;Ремонтно-ревизионный участок
2758;01.01.2004;06.04.2009;Мастерская
2758;07.04.2009;27.08.2011;Автотранспортный участок
2759;01.01.2004;13.07.2011;Энергодиспетчерская
2760;01.01.2004;02.04.2007;Отдел ВЦЭ
2761;01.01.2004;01.12.2009;Цех капитального ремонта (Боготол)
2762;01.01.2004;30.06.2011;ЭЧК-14 ст.Дивногорск
2763;01.01.2004;30.06.2011;Дорожная электротехническая лаборатория
2764;01.01.2004;22.07.2011;ЭЧК-46 ст.Бугач
2765;01.01.2004;30.06.2011;ЭЧЭ-36 ст.Красноярск-Восточный
2766;01.01.2004;29.07.2011;ЭЧК-47 ст.Красноярск-Восточный
2767;01.01.2004;26.07.2011;ЭЧС-18 ст.Красноярск-Восточный
2768;01.01.2004;30.06.2011;Тяговая подстанция (Мариинск)
2769;01.01.2004;31.07.2005;ПВД отдел ОПР (3 ст.)
2769;01.08.2005;01.02.2006;ПВД отдел ОПР
2770;01.01.2004;31.12.2004;ПВД отдел ОВС (2) + ТВС (1) + АБУ (1)
2770;01.01.2005;01.02.2006;ПВД отдел ОВС (1) + АБУ (1)
2772;01.01.2004;30.06.2011;Район контактной сети станции Ачинск 2
2773;01.01.2004;14.07.2011;Район контактной сети станции Назарово
2774;01.01.2004;14.07.2011;Тяговая подстанция станции Красная Сопка
2775;01.01.2004;30.06.2011;Район контактной сети станции Крас.Сопка
2776;01.01.2004;31.12.2005;СТОЛОВАЯ
2777;01.01.2004;02.04.2007;Отдел ВЦЛ
2778;01.01.2004;02.04.2007;Отдел ГДП
2779;01.01.2004;02.04.2007;Отдел ВЦО
2780;01.01.2004;30.06.2011;Тяговая подстанция (Тяжин)
2781;01.01.2004;02.04.2007;Отдел ТВС
2782;01.01.2004;30.06.2011;Район контактной сети станции Канск
2783;01.01.2004;14.07.2011;Район контактной сети станции Иланская
2784;01.01.2004;03.08.2011;Район контактной сети станции Ингашская
2785;01.01.2004;22.07.2011;Район контактной сети станции Тинская
2786;01.01.2004;30.06.2011;Район контактной сети станции Решоты
2788;01.01.2004;04.03.2005;ПВД отдел Экспресс (5)+ хозгруппа (1)
2788;05.03.2005;31.07.2005;ПВД отдел Экспресс (4)+ хозгруппа (1)
2788;01.08.2005;01.02.2006;ПВД отдел Экспресс
2789;01.01.2004;02.04.2007;Группа информационной безопасности (ГИБ)
2790;01.01.2004;01.09.2006;АТС-2
2791;01.01.2004;02.04.2007;ДЦВ
2792;01.01.2004;27.08.2011;Тяговая подстанция станции Филимоново
2793;01.01.2004;22.07.2011;Тяговая подстанция станции Иланская
2794;01.01.2004;14.07.2011;Тяговая подстанция станции Шарбыш
2795;01.01.2004;14.07.2011;Тяговая подстанция станции Ключи
2796;01.01.2004;22.07.2011;Ремонтно-ревизионный участок станции Ила
2797;01.01.2004;14.07.2011;Тяговая подстанция (Каштан)
2798;01.01.2004;02.04.2007;Административная группа ДЦВ
2799;01.01.2004;02.04.2007;Отдел ОРФ
2800;01.01.2004;02.04.2007;Отдел ТПС
2801;01.01.2004;30.06.2011;Тяговая подстанция (Критово)
2802;01.01.2004;27.11.2005;Бригада обсл.уст-в.связи КРСК-СЕВЕРНЫЙ
2803;01.01.2004;02.04.2007;Отдел РФС
2804;01.01.2004;02.04.2007;Отдел ВПЭ
2805;01.01.2004;01.09.2006;Бригада обсл.усил.пункт.КОЗУЛЬКА-КЕМЧУГ
2806;01.01.2004;04.03.2011;Энергодиспетчерский пункт станции Иланск
2806;05.03.2011;22.07.2011;Энергодиспетчерская группа станции Иланс
2807;01.01.2004;01.01.2010;Мастерская станции Иланская
2808;01.01.2004;11.11.2005;Стройгруппа
2809;01.01.2004;30.06.2009;Автотранспортный цех станции Иланская
2809;01.07.2009;30.08.2011;Автотранспортный участок ст. Иланская
2810;01.01.2004;22.07.2011;Район электроснабжения станции Иланская
2811;01.01.2004;01.11.2006;ЭЧЭ-5 ст.Ачинск
2812;01.01.2004;01.09.2006;Бригада обсл.усил.пункт.МИНИНО-КАЧА
2813;01.01.2004;22.07.2011;Ремонтно-ревизионный участок (Боготол)
2814;01.01.2004;01.09.2006;ОУП ст. ЧЕРНОРЕЧЕНСКАЯ
2816;01.01.2004;01.11.2006;ЭЧЭ-37 ст.Н.Еловка
2818;01.01.2004;01.09.2006;Телефонно-телеграфная станция
2819;01.01.2004;07.11.2011;Район электроснабжения станции Решоты
2820;01.01.2004;27.08.2011;Район электроснабжения станции Чунояр
2823;01.01.2004;30.10.2005;Ремонтная бригада
2824;01.01.2004;01.09.2006;КИП связи КРАСНОЯРСК
2825;01.01.2004;01.09.2006;Бригада ЛАЦ управления дороги
2826;01.01.2004;03.08.2007;Руководство
2827;01.01.2004;01.09.2006;ЛАЦ тонального телеграфа
2828;01.01.2004;01.09.2006;Цех №3
2829;01.01.2004;31.03.2009;Мастерская (Боготол)
2829;01.04.2009;14.07.2011;Автотранспортный участок (Боготол)
2831;01.01.2004;22.07.2011;Сетевой район (Мариинск)
2832;01.01.2004;31.05.2011;Сетевой район (Боготол)
2833;01.01.2004;30.06.2011;Диспетчерская (Боготол)
2834;01.01.2004;01.09.2006;Бригада обсл.маг.каб.СНЕЖНИЦА-ЧЕРНОРЕЧ.
2835;01.01.2004;01.09.2006;Бригада обсл.станц.(ман.)р/связи
2837;01.01.2004;01.09.2006;Бригада обсл.поездн.р/связи
2838;01.01.2004;01.09.2006;Группа техн.документации по устр. связи
2839;01.01.2004;01.09.2006;Бригада диспетчерского контроля сл. НИС
2840;01.01.2004;01.09.2006;Дежурные по обесп. нормальной работы
2841;01.01.2004;01.09.2006;Бригада обсл.уст-в.вокзальн.автоматики
2842;01.01.2004;01.09.2006;"Бригада обсл.св.вокз. и сист.""Экспресс"""
2843;01.01.2004;01.09.2006;ЛАЗ НОД-2
2844;01.01.2004;01.09.2006;Дорожная лаборатория
2845;01.01.2004;01.09.2006;Бригада обсл.маг.каб. ЕНИСЕЙ-ЗЫКОВО
2846;01.01.2004;01.09.2006;Линейно-кабельное хозяйство
2847;01.01.2004;01.09.2006;Бригада обсл.станц.р/св ЕНИСЕЙ-ЗЫКОВО
2848;01.01.2004;01.09.2006;Дистанционные мастерские
2849;01.01.2004;01.09.2006;Бригада обсл.уст-в.связи КРСК-ВОСТОЧНЫЙ
