OBJID;BEGDA;ENDDA;STEXT
55000133;01.07.2006;30.06.2007;ст.Поканаевка
55000134;01.07.2006;30.06.2007;ст.Черманчет
55000135;01.07.2006;30.06.2007;Участок Карабула
55000136;01.07.2006;30.06.2007;ст.Карабула
55000137;01.07.2006;30.06.2007;ст.Чунояр
55000138;01.07.2006;30.06.2007;ст.Тамтачет
55000139;01.07.2006;30.06.2007;ст.Гаревой
55000140;01.07.2006;30.06.2007;ст.Новохайская
55000141;01.07.2006;30.06.2007;АУР ДОП-3
55000142;01.07.2006;30.06.2007;Руководство
55000143;01.07.2006;30.06.2007;Отдел управления персоналом
55000144;01.07.2006;30.06.2007;Бухгалтерия
55000145;01.07.2006;30.06.2007;Экономический отдел
55000146;01.07.2006;30.06.2007;Сектор вокзалов
55000147;01.07.2006;30.06.2007;Производственно-технический отдел
55000148;01.07.2006;30.06.2007;ст. Абакан
55000149;01.07.2006;30.06.2007;Ст.Щетинкино
55000150;01.07.2006;30.06.2007;Ст.Абакумовка
55000151;01.07.2006;30.06.2007;Ст.Абаза
55000152;01.07.2006;30.06.2007;Ст.Биркчул
55000153;01.07.2006;30.06.2007;Ст.Бискамжа
55000154;01.07.2006;30.06.2007;Ст.Журавлево
55000155;01.07.2006;30.06.2007;Ст.Минусинск
55000156;01.07.2006;30.06.2007;Ст.Кизир
55000157;01.07.2006;30.06.2007;Ст.Мана
55000158;01.07.2006;30.06.2007;Ст.Ирба
55000159;01.07.2006;30.06.2007;Ст.Саранчет
55000160;01.07.2006;30.06.2007;Ст.Тагул
55000161;01.07.2006;30.06.2007;Ст.Туба
55000162;01.07.2006;30.06.2007;Ст.Хайрузовка
55000163;01.07.2006;30.06.2007;Ст.Саянская
55000164;01.07.2006;30.06.2007;Ст.Аскиз
55000165;01.07.2006;30.06.2007;Ст.Курагино
55000167;01.07.2006;30.06.2007;Ст.Шира
55000168;01.07.2006;30.06.2007;Ст.Ирбейская
55000169;01.07.2006;30.06.2007;Ст.Учум
55000170;01.07.2006;30.06.2007;Ст.Копьево
55000171;01.07.2006;30.06.2007;Ст.Июс
55000172;01.07.2006;30.06.2007;Ст.Сон
55000173;01.07.2006;30.06.2007;Ст.Ербинская
55000174;01.07.2006;30.06.2007;Ст.Балыксу
55000175;01.07.2006;30.06.2007;Участок Абакан
55000176;01.07.2006;31.08.2007;Вагонное хозяйство
55000177;01.07.2006;30.06.2007;Цеха эксплуатации
55000178;01.07.2006;31.12.2007;Прачечный цех
55000178;01.01.2008;08.09.2010;Прачечный цех
55000179;01.07.2006;30.06.2007;Резерв проводников
55000179;01.07.2007;31.12.2007;Пр.уч.-резерв проводников пасс.вагонов
55000179;01.01.2008;12.11.2010;Пр.уч.-резерв проводников пасс.вагонов
55000180;01.07.2006;30.06.2007;Электроцех
55000180;01.07.2007;31.12.2007;Пр.уч.-ремонта электрооб.ваг.(текущ.рем)
55000180;01.01.2008;13.03.2012;Пр.уч.-ремонта электрооб.ваг.(текущ.рем)
55000181;01.07.2006;31.12.2007;Пр.уч.-пункт формирования пасс.поездов
55000181;01.01.2008;05.07.2010;Пр.уч.-пункт формирования пасс.поездов
55000183;01.07.2006;30.06.2007;ПТО пассажирских вагонов
55000183;01.07.2007;31.12.2007;Пр.уч.-пункт технич.обслуживания вагонов
55000183;01.01.2008;12.04.2010;Пр.уч.-пункт технич.обслуживания вагонов
55000184;01.07.2006;30.06.2007;Ремонтные цеха
55000185;01.07.2006;30.06.2007;Сборочный цех
55000185;01.07.2007;31.12.2007;Пр.уч.-вагоносборочный
55000185;01.01.2008;22.06.2010;Пр.уч.-вагоносборочный
55000186;01.07.2006;30.06.2007;Ремонтно-заготовительный цех
55000186;01.07.2007;31.12.2007;Пр.уч.- ремонта и изготовления деталей
55000186;01.01.2008;30.11.2010;Пр.уч.- ремонта и изготовления деталей
55000187;01.07.2006;30.06.2007;Колесно-роликовый цех
55000187;01.07.2007;31.12.2007;Пр.уч.- рем.кол.пар и бук.узла с рол.под
55000187;01.01.2008;05.07.2010;Пр.уч.- рем.кол.пар и бук.узла с рол.под
55000188;01.07.2006;30.06.2007;Автоконтрольный пункт
55000188;01.07.2007;31.12.2007;Пр.уч.- контр.пункт автотормозов (АКП)
55000188;01.01.2008;31.03.2010;Пр.уч.- контр.пункт автотормозов (АКП)
55000189;01.07.2006;30.06.2007;Дерево-обрабатывающий цех
55000189;01.07.2007;31.12.2007;Отделение- столярное
55000189;01.01.2008;31.03.2010;Отделение - столярное
55000190;01.07.2006;30.06.2007;Электроцех деповского ремонта
55000190;01.07.2007;31.12.2007;Пр.уч.- ремонта электрооб.ваг.(деп.рем.)
55000190;01.01.2008;23.04.2010;Пр.уч.- ремонта электрооб.ваг.(деп.рем.)
55000191;01.07.2006;30.06.2007;Тележечный цех
55000191;01.07.2007;31.12.2007;Пр.уч.-ремонта тележек
55000191;01.01.2008;20.11.2009;Пр.уч.- ремонта тележек
55000191;21.11.2009;31.03.2010;Пр.уч.-ремонта тележек
55000192;01.07.2006;30.06.2007;Обслуживающие цеха
55000192;01.07.2007;31.08.2007;Участки обслуживающие
55000193;01.07.2006;30.06.2007;Хозяйственный цех
55000193;01.07.2007;31.12.2007;Пр.уч.- ремонтно-сроительный
55000193;01.01.2008;31.03.2010;Пр.уч.- ремонтно-строительный
55000194;01.07.2006;30.06.2007;Котельная
55000194;01.07.2007;31.12.2007;Пр.уч.- ремонта и обсл.теплоэнер.оборуд.
55000194;01.01.2008;05.07.2010;Пр.уч.- ремонта и обсл.теплоэнер.оборуд.
55000195;01.07.2006;30.06.2007;Ремонтно-механический цех
55000195;01.07.2007;31.12.2007;Пр.уч.-ремонта и обслуж.оборуд.ваг.депо
55000195;01.01.2008;30.04.2010;Пр.уч.- ремонта и обслуж.оборуд.ваг.депо
55000196;01.07.2006;30.06.2007;Экспериментальный цех
55000196;01.07.2007;31.12.2007;Пр.уч.- по ремонту технологич.оборудов
55000196;01.01.2008;20.04.2010;Пр.уч.- по ремонту технологич.оборудов
55000197;01.07.2006;31.08.2007;Цех по ремонту отопительной системы
55000198;01.07.2006;30.06.2007;Гараж
55000198;01.07.2007;31.12.2007;Пр.уч.- транспортный
55000198;01.01.2008;31.03.2010;Пр.уч.- транспортный
55000199;01.04.2006;30.09.2010;Околоток №3
55000199;01.10.2010;31.05.2011;Линейный участок №3
55000200;10.05.2006;31.12.2011;Служба корпоративной информатизации
55000200;01.01.2012;31.12.9999;Служба корпоративной информатизации
55000202;01.04.2006;07.06.2011;Сектор по сохранности вагонного парка
55000203;01.07.2006;31.12.2007;Руководство
55000203;01.01.2008;31.05.2012;Руководство
55000204;01.07.2006;31.12.2007;Отдел  управления персоналом и социально
55000204;01.01.2008;31.03.2010;Отдел управления персоналом и социально
55000205;01.07.2006;31.12.2009;Сектор по охране труда, промышленной без
55000206;01.07.2006;31.12.2007;Сектор по безопасности движения поездов
55000206;01.01.2008;30.06.2008;Сектор по безопасности движения поездов
55000207;01.07.2006;30.06.2007;Сектор финансирования
55000207;01.07.2007;31.12.2007;Финансовый сектор
55000207;01.01.2008;31.03.2010;Финансовый сектор
55000208;01.07.2006;31.03.2007;Бухгалтерия
55000208;01.04.2007;13.04.2008;Отдел бухгалтерского и налогового учета
55000208;14.04.2008;31.05.2008;Отдел бухгалтерского и налогового учета
55000209;01.07.2006;31.05.2008;Сектор по налогам
55000210;01.07.2006;30.06.2007;Отдел планирования и бюджетирования
55000210;01.07.2007;31.12.2007;Экономический отдел
55000210;01.01.2008;31.03.2010;Экономический отдел
55000211;01.07.2006;01.01.2008;Отдел по договорной и претензионной раб
55000212;01.07.2006;30.06.2007;Сектор организации труда и зарплаты
55000212;01.07.2007;31.12.2007;Сектор организации, нормирования, оплаты
55000212;01.01.2008;31.03.2010;Сектор организации, нормирования, оплаты
55000213;01.07.2006;31.12.2007;Производственно-технический отдел
55000213;01.01.2008;31.03.2010;Производственно-технический отдел
55000214;01.07.2006;30.06.2007;Сектор развития агентской сети
55000214;01.07.2007;31.12.2007;Сектор организации продаж
55000214;01.01.2008;31.03.2010;Сектор организации продаж
55000215;01.07.2006;31.12.2007;Отдел организации ремонта и эксплуатации
55000215;01.01.2008;31.03.2010;Отдел организации ремонта и эксплуатации
55000216;01.07.2006;30.06.2007;Сектор сервисного обслуживания пассажиро
55000216;01.07.2007;31.12.2007;Сектор обслуживания пассажиров и предост
55000216;01.01.2008;31.03.2010;Сектор обслуживания пассажиров и предост
55000217;01.07.2006;30.06.2007;Отдел материально-технического снабжени
55000217;01.07.2007;31.12.2007;Сектор координации поставок и материальн
55000217;01.01.2008;31.03.2010;Сектор координации поставок и материальн
55000218;01.07.2006;01.12.2006;Отдел маркетинга и организации пассажирс
55000222;29.06.2006;31.12.2011;Сектор контрольно-ревизионной деятельнос
55000222;01.01.2012;16.12.2012;Сектор контрольно-ревизионной деятельнос
55000223;29.06.2006;31.12.2011;Отдел подвижного состава и сводной стати
55000223;01.01.2012;31.10.2012;Отдел подвижного состава и сводной стати
55000224;29.06.2006;31.12.2011;Отдел анализа графиков исполненного движ
55000224;01.01.2012;31.12.9999;Отдел анализа графиков исполненного движ
55000225;29.06.2006;31.12.2011;Сектор труда и заработной платы
55000225;01.01.2012;31.12.9999;Сектор труда и заработной платы
55000226;29.06.2006;30.04.2008;Отдел программно-технических средств и э
55000228;01.04.2006;14.10.2010;Производственно-технический отдел
55000229;01.04.2006;01.10.2010;Экономический отдел
55000230;01.04.2006;31.12.2009;Бухгалтерия
55000231;01.04.2006;14.10.2010;Сектор договорной работы и управл.имущ.
55000232;01.04.2006;01.06.2007;Аппарат управления
55000233;01.04.2006;01.06.2007;Красноярский грузовой район
55000234;01.04.2006;01.06.2007;Бугачский производственный участок
55000235;01.04.2006;01.06.2007;Базаихский грузовой район
55000236;01.04.2006;01.06.2007;Канский производственный участок
55000237;01.04.2006;01.06.2007;Ачинский грузовой район
55000238;01.04.2006;01.06.2007;Ужурский грузовой район
55000239;01.07.2006;30.06.2007;Участок Курагино
55000240;01.07.2006;30.06.2007;Участок Кошурниково
55000241;01.07.2006;30.06.2007;Участок  Саянская
55000242;01.04.2006;13.02.2009;Аппарат управления
55000243;01.04.2006;31.10.2008;Абаканский участок 3 группы
55000246;01.04.2006;17.10.2008;Минусинский участок 3 группы
55000248;01.04.2006;13.11.2008;Механическая мастерская
55000249;01.04.2006;27.10.2008;Абаканский грузовой район
55000251;01.04.2006;05.10.2008;Минусинский грузовой район
55000254;01.07.2006;30.06.2007;Ст.Кошурниково
55000255;01.07.2006;30.06.2007;Участок Аскиз
55000256;01.07.2006;30.06.2007;Участок Шира
55000257;01.07.2006;30.06.2007;Ст.Усть-Бирь
55000259;18.07.2006;25.12.2009;Общежитие станции Мариинск
55000262;01.07.2006;31.12.2007;Отдел ревизий и технологического контрол
55000263;01.07.2006;31.03.2007;Сектор по охране труда и экологии
55000263;01.04.2007;30.06.2007;Сектор по охране труда
55000263;01.07.2007;31.12.2007;Сектор по охране труда и экологии
55000263;01.01.2008;20.11.2009;Сектор по охране труда и экологии
55000263;21.11.2009;30.01.2010;Сектор по охране труда и экологии
55000267;01.07.2006;31.03.2008;Гараж
55000268;01.07.2006;31.03.2008;Бригада обс.уст.пункт. Громадская-Камала
55000269;01.07.2006;31.03.2008;Бригада обс.станции р/св Камала-Зыково
55000270;01.07.2006;12.12.2007;Контрольно-ремонтный пункт связи ст.Уяр
55000271;01.07.2006;31.03.2008;Бригада обс.линий местной связи ст.Уяр
55000272;01.07.2006;31.03.2008;Бригада по обс.и рем.маг.каб. Камала-Див
55000273;01.07.2006;18.06.2007;ЛАЗ ст.Злобино
55000274;01.07.2006;31.03.2008;ЛАЗ ст.Уяр
55000275;01.07.2006;31.03.2008;Бригада обс.усил.пункт Балай-Сорокино
55000276;01.07.2006;31.03.2008;Бригада обс.уст.св. Красноярск-Восточный
55000277;01.07.2006;31.03.2008;Бригада обс.станции р/св Енисей-Зыково
55000278;01.07.2006;31.03.2008;Линейно-кабельная группа ст.Красноярск
55000279;01.07.2006;31.03.2008;Бригада обс.маг.каб. ст.Енисей-Зыково
55000280;01.07.2006;31.03.2008;Дорожная лаборатория связи
55000285;01.07.2006;31.03.2008;Автоматическая телефонная ст.Красноярск
55000286;01.07.2006;31.03.2008;Бригада обс.усил.пункт Козулька-Кемчуг
55000287;01.07.2006;31.03.2008;Бригада обсл.усил.пункт Минино-Кача
55000288;01.07.2006;31.03.2008;Бригада по обс.усил.пункт ст.Чернореченс
55000289;01.07.2006;31.03.2008;Телефонно-телеграфная ст.Красноярск
55000290;01.07.2006;31.03.2008;Бригада по обс. электронных коммутаций
55000291;01.07.2006;31.03.2008;ЛАЗ диспетчерской связи
55000292;01.07.2006;31.03.2008;ЛАЗ № 1 ст.Красноярск
55000293;01.07.2006;31.03.2008;ЛАЗ тонального телеграфа ст.Красноярск
55000294;01.07.2006;31.03.2008;Цех №3
55000295;01.07.2006;31.03.2008;Бригада обс.маг.каб.Снежница-Красн-Север
55000296;01.07.2006;31.03.2008;Бригада обс.маг.каб. Снежница-Черноречен
55000297;01.07.2006;31.03.2008;Бригада обсл.станц.(ман.)р/связи
55000298;01.07.2006;31.03.2008;Бригада обсл.поездн.р/связи
55000299;01.07.2006;31.03.2008;Группа техн.документации и надежности
55000301;01.07.2006;24.10.2007;Бригада по обесп.беспереб.работы устр.св
55000302;01.07.2006;31.03.2008;Бригада обсл.уст. вокзальной автоматики
55000303;01.07.2006;31.03.2008;"Бригада обсл.св.вокз. и сист.""Экспресс"""
55000304;01.07.2006;31.03.2008;Линейно-аппаратный зал №2 ст.Красноярск
55000305;01.07.2006;31.03.2008;Контрольно-ремонтный пункт (КРП)
55000308;01.07.2006;31.03.2008;Линейно-аппаратный зал ст.Боготол
55000309;01.07.2006;31.03.2008;Линейно-аппаратный зал ст.Мариинск
55000313;01.07.2006;31.03.2008;Телефонно-телеграфная  ст.Боготол
55000315;01.07.2006;31.03.2008;Телефонно-телеграфная ст.Мариинск
55000316;01.07.2006;01.07.2007;Бригада по обс. устройств связи ст.Богол
55000317;01.07.2006;31.03.2008;Бригада по обслуживанию и ремонту кабеля
55000319;01.07.2006;31.03.2008;Бригада по обс.маг.каб.св. Мариинск-Авер
55000320;01.07.2006;31.03.2008;Бригада по обс.маг.каб. св. ст.Кашт-Зерц
55000321;01.07.2006;31.03.2008;Бригада по обс.маг.каб св. ст.Тяжин-Итат
55000323;01.07.2006;31.03.2008;Бригада по пр.и рем.уст.р/св ст.Бог-Мар
55000340;01.07.2006;31.03.2008;Линейно-аппаратный зал ст.Ачинск
55000341;01.07.2006;31.03.2008;Бригада по обс.уст.св.и рад.ст.Н.Ел-Черн
55000342;01.07.2006;31.03.2008;АТС ст.Ачинск-1
55000343;01.07.2006;31.03.2008;Бригада по пров.и рем.приб. связи и р/св
55000344;01.07.2006;31.03.2008;Бригада по обс.уст.тел. и тех.св Ачинск1
55000345;01.07.2006;31.03.2008;Бригада по обс.уст.св.и рад. Ачин2-Улуй
55000346;01.07.2006;31.03.2008;Бригада по обс.уст.св. и р/св ст.Улуй-64
55000347;01.07.2006;31.03.2008;Бригада по обс.маг.кабеля связи
55000348;01.07.2006;31.03.2008;Бригада по обс.уст.св. 20км Малая Кеть
55000349;01.07.2006;31.03.2008;Бригада по обс.уст.св.и рад. М.Кеть-Лес
55000350;01.07.2006;31.03.2008;Группа по работе с абонентами
55000351;01.07.2006;31.03.2008;Дом связи ст.Аскиз
55000352;01.07.2006;31.03.2008;Дом связи ст.Бискамжа
55000353;01.07.2006;31.03.2008;Телефонно-телеграфная станция ст.Аскиз
55000354;01.07.2006;04.09.2007;Телефонная ст.Бискамжа
55000355;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Канзыба-Щетинкино
55000356;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Сисим-Мана
55000357;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Курагино
55000358;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Абакан
55000359;01.07.2006;31.03.2008;Бр.по обс.уст.св. ст.Хабайдак-Авда-Корос
55000361;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Тея -Биск. -Карай
55000362;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Тисин-Учум
55000363;01.07.2006;31.03.2008;Линейно-аппаратный зал ст.Саянская
55000364;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Кварцит-Тагул
55000365;01.07.2006;31.03.2008;Бр.по обс.уст.св. ст.Аск-Абаза-Бискамжа
55000366;01.07.2006;31.03.2008;Бр.по обс.мест.и стан.св. ст.Кошурниково
55000368;01.07.2006;31.03.2008;Телефонно-телеграфная станция Саянская
55000369;01.07.2006;31.03.2008;Бр. по обс.уст.радиосвязи ст.487км-Мана
55000371;01.07.2006;31.03.2008;Бригада по обс.уст.св Солянка-КанскЕнисе
55000372;01.07.2006;31.03.2008;Бригада по обс.устройств связи ст.Решоты
55000375;01.07.2006;01.11.2007;Бригада по обс.уст.св Стайный-Ключи-Вост
55000376;01.07.2006;31.03.2008;АТС ст.Иланская
55000377;01.07.2006;31.03.2008;Телефонно-телеграфная ст.Чунояр
55000378;01.07.2006;31.03.2008;Бригада по обс.линий мест.св Иланская
55000379;01.07.2006;31.03.2008;Бригада по обс.уст. св,р/св ст.Иланская
55000380;01.07.2006;31.03.2008;Линейно-аппаратный зал ст.Иланская
55000381;01.07.2006;28.11.2007;Линейно-аппаратный зал ст.Чунояр
55000382;01.07.2006;31.03.2008;Бригада по обс.маг.каб. св.
55000383;01.07.2006;08.12.2007;Бригада по обс. св и р/св Каниф-Карабула
55000384;01.07.2006;31.03.2008;Телефонно-телеграфная ст.Ужур
55000385;01.07.2006;16.08.2007;Автоматическая телефонная станция Ужур
55000386;01.07.2006;31.03.2008;Бригада по об.у.св.и р/св. Кия-Ш-Дуб-Ш-Ш
55000387;01.07.2006;14.08.2007;Бригада по обс.устр.св. 19км КраснСопка
55000388;01.07.2006;31.03.2008;Линейно-аппаратный зал ст.Ужур
55000390;01.07.2006;31.03.2008;Бригада по рем.и обсл.апп.св.и р/св
55000391;01.07.2006;31.03.2008;Бригада по обс.уст.св и р/св Ужур-Сереж
55000392;01.07.2006;31.03.2008;Бр. по обс.уст. вокзальной автоматики
55000393;01.07.2006;01.12.2007;Контр/рем. пункт радиосвязи ст. Абакан
55000393;02.12.2007;31.03.2008;Контр/рем. пункт радиосвязи ст. Абакан
55000394;01.07.2006;31.03.2008;Бр. по обс.маг.каб.св. ст.Ташеба-Камышта
55000395;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Абакан-Туба
55000396;01.07.2006;01.04.2007;Автомат.телеф.ст.и мест.св. ст.Саянская
55000397;01.07.2006;31.03.2008;Бр.по обс.и рем.лин.уст.св. ст.Абакан
55000398;01.07.2006;31.03.2008;Бр. по обс.уст.св. станций 487км-557км
55000399;01.07.2006;31.03.2008;Телефонно-телеграфная ст.Абакан
55000401;01.07.2006;31.03.2007;Бр.по об.б/п раб.и обс.уст.св.д/ц ст.Аб.
55000401;01.04.2007;06.12.2007;Бр.по об.б/п раб.и обсл. устройств связи
55000402;01.07.2006;31.03.2008;Линейно-аппаратный зал ст. Абакан
55000403;01.07.2006;31.03.2008;Автоматическая телефонная ст. Абакан
55000404;01.07.2006;31.03.2008;Бр.по обс.уст.св. ст.Аск-Абаза-Тея-Между
55000405;01.07.2006;31.03.2008;Бр. по обс.уст.св. ст.Капчалы-Сон
55000426;01.05.2006;11.03.2009;Пассажирское хозяйство
55000427;01.07.2006;02.04.2007;Отдел АСУ Абакан
55000433;26.07.2006;19.01.2010;Служебно - технический вагон № 415
55000434;01.07.2006;31.03.2008;Группа технической документации и надежн
55000436;01.07.2006;31.03.2008;Телефонно-телеграфная ст.Кошурниково
55000437;01.07.2006;31.03.2008;Группа по работе с абонентами
55000439;01.07.2006;31.03.2008;Бр.по обс.уст.поездной и парков. р/связи
55000440;01.07.2006;31.03.2008;Бр.по обс.уст.св. ст.Коростелево-Кварцит
55000441;01.07.2006;31.03.2008;Бр. по обс. магистрального кабеля связи
55000442;01.07.2006;31.03.2008;Бригада по обслуж. устройств радиосвязи
55000444;28.04.2006;31.03.2008;Руководство
55000445;01.07.2006;31.03.2008;Отдел эксплуатации электросвязи
55000446;01.07.2006;31.03.2008;Технический отдел
55000447;01.07.2006;31.03.2008;Экономический сектор
55000448;01.07.2006;31.03.2008;Бухгалтерия
55000449;01.07.2006;31.03.2008;Отдел ЦТУ
55000450;01.07.2006;31.03.2008;Дистанционные мастерские
55000452;01.08.2006;23.09.2011;ПТО пассажирских вагонов Красноярск
55000458;01.10.2003;06.12.2004;Служба электроснабжения
55000459;01.07.2006;01.12.2006;Управление
55000460;01.07.2006;31.03.2008;Гараж
55000462;16.08.2006;23.09.2010;Отдел перспективного развития,новой техн
55000463;16.08.2006;14.02.2010;Отдел технического регулирования, лиценз
55000464;01.07.2006;31.12.2011;Склад бланков нестрогой отчетности
55000468;29.08.2006;22.07.2010;Музей станции Абакан
55000471;01.01.2005;31.03.2009;Экспериментальный участок
55000472;01.01.2005;31.03.2009;Экспериментальный участок
55000473;01.01.2005;23.09.2011;Производственно-технический отдел
55000474;01.01.2005;12.07.2007;Экономический сектор
55000475;01.01.2005;05.06.2009;Бухгалтерия
55000476;01.01.2005;04.08.2011;Отдел по управлению персоналом
55000477;01.01.2005;14.07.2011;Ремонтный участок
55000487;01.01.2005;30.06.2009;Дом отдыха локомотивных бригад Ачинск-II
55000488;01.01.2005;30.06.2009;Дом отдыха локомотивных бригад Дубинино
55000489;01.01.2005;30.06.2009;Дом отдыха локомотивных бригад Кия-Шалты
55000490;01.01.2005;31.03.2009;Лаборатория депо
55000493;01.01.2005;31.03.2009;Лаборатория
55000494;01.01.2005;30.06.2009;Дом отдыха локомотивных бригад
55000496;01.07.2006;02.04.2007;Группа по внедрению и сопровождению АРМ
55000497;01.07.2006;02.04.2007;ВЦТУ Абакан
55000498;01.07.2006;02.04.2007;ВПЭ Абакан
55000499;01.01.2005;31.12.2008;Хозяйственный цех
55000499;01.01.2009;29.12.2010;Хозяйственный участок
55000502;01.01.2005;31.12.2008;Ремонтный цех
55000502;01.01.2009;14.07.2011;Ремонтный участок
55000503;01.01.2005;31.12.2008;Автоконтрольный цех
55000503;01.01.2009;30.06.2011;Автоконтрольный участок
55000505;01.01.2005;31.12.2008;Колесный цех
55000505;01.01.2009;27.08.2011;Колесный участок
55000506;01.01.2005;30.06.2011;Участок по разделке вагонов на металлоло
55000507;01.01.2005;14.07.2011;Участок неразрушающего контроля
55000508;01.01.2005;15.07.2009;Отдел главного механика
55000509;01.01.2005;30.06.2011;Участок текущего отцепочного ремонта
55000510;01.01.2005;01.08.2010;Заготовительный участок
55000512;01.01.2004;30.04.2010;Произв.уч. ст.Красноярск-Кемчуг (ПОНАБ)
55000512;01.05.2010;14.07.2011;Произв.уч.по обслуж. УКС ст.Кр-к-Кемчуг
55000513;01.01.2004;01.04.2007;Произв.уч. ст.Енисей-Камала (ПОНАБ)
55000514;01.01.2004;14.07.2011;Произв.уч. ст.Козулька-Снежница (СЦБ)
55000515;01.01.2004;14.07.2011;Произв.уч.ст.Красн-Бугач-Кр-Северн (СЦБ)
55000516;01.01.2004;01.04.2007;Произв.уч. ст.Сорокино-Камала (СЦБ)
55000517;01.01.2004;14.07.2011;Произв.уч.ст.Енисей-Базаиха-Дивног(СЦБ)
55000518;01.01.2004;01.04.2007;Произв.уч. ст.Красноярск-Восточный (СЦБ)
55000519;01.01.2004;31.03.2011;Группа техн. документации  и надежности
55000520;01.01.2004;21.05.2010;Ремонтно-технологический участок
55000521;01.01.2004;01.04.2007;Участок по обслужив. сортировочной горки
55000523;01.01.2004;30.06.2011;Производственно-технический отдел
55000525;01.01.2005;01.04.2007;Бухгалтерия
55000526;01.01.2005;14.04.2007;Технический отдел
55000530;01.01.2005;31.03.2009;Бухгалтерия
55000531;01.01.2005;30.09.2008;Планово-экономический сектор
55000532;01.01.2005;30.09.2008;Карабульский лесозаготовительный участок
55000533;01.01.2005;30.09.2008;Строжевая охрана
55000535;01.01.2005;12.02.2007;Руководство
55000537;01.01.2005;01.04.2007;Отдел план.поставок,эконом.анал. и финан
55000538;01.01.2005;01.02.2007;Производственно-технический отдел
55000539;01.01.2005;01.02.2007;Сектор разработки и внедрения АРМ
55000540;01.01.2005;01.02.2007;Отдел комплектации и оборудования
55000541;01.01.2005;01.02.2007;Отдел  материалов
55000542;01.01.2005;01.02.2007;Отдел топливно-энергетических ресурсов
55000543;01.01.2005;01.02.2007;Отдел запасных частей
55000544;01.01.2005;01.02.2007;Отдел по обеспечению мат.верх.стр.пути
55000545;01.01.2005;01.02.2007;Сектор маркетинга и ценообразования
55000546;01.01.2005;01.02.2007;Бухгалтерия
55000549;01.01.2005;30.06.2008;Бригада кранового хозяйства
55000550;01.01.2005;30.06.2008;Бригада состава засорителей
55000551;01.01.2005;30.06.2008;Бригада электробалласт. машины ЭЛБ-1
55000552;01.01.2005;31.03.2007;Участок №2 (бригадир освобожденный)
55000554;01.01.2005;02.04.2007;Участок №2 (главные кондуктора)
55000555;01.01.2005;31.03.2007;Участок №2 (распределитель работ)
55000558;01.01.2005;30.06.2008;Бригада демонтажа РШР(бригадир)
55000559;01.01.2005;21.06.2007;Бригада по текущ.содерж. и ремонту здан.
55000560;01.01.2005;31.03.2007;Бригада монтажа РШР  (ремонтная)
55000563;25.09.2006;31.03.2008;Энергоучасток
55000564;01.01.2005;30.04.2009;Бухгалтерия
55000565;01.01.2005;30.06.2009;Отдел управления персоналом
55000566;01.01.2005;30.06.2009;Экономический сектор
55000567;01.01.2005;30.06.2009;Производственно-технический отдел
55000568;01.01.2005;30.06.2009;Отдел организации труда и зараб. платы
55000570;01.01.2005;27.10.2008;Договорной отдел
55000571;01.01.2005;31.07.2009;Отдел расчетов и реализации
55000572;01.01.2005;31.07.2009;Отдел бухгалтерского учета
55000573;01.01.2005;31.03.2009;Участок по ремонту радиостанций
55000574;01.01.2005;31.03.2009;Участок ремонта эл.приборов,скоростемеро
55000575;01.01.2005;31.03.2009;Участок по ремонту ССПС
55000576;01.01.2005;31.03.2009;Участок по ремонту  АЛСН
55000577;01.01.2005;30.06.2009;Пассажирское движение
55000578;01.01.2005;30.06.2009;Грузовое движение
55000579;01.01.2005;30.06.2009;Хозяйственное движение
55000580;01.01.2005;30.06.2009;Маневровое движение
55000581;01.01.2005;31.12.2008;Экипировка лок-ов и вспомогат.участ.рабо
55000582;01.01.2005;30.06.2009;Пригородное движение
55000583;01.01.2005;30.06.2009;Пассажирское движение
55000584;01.01.2005;30.06.2009;Хозяйственное движение
55000585;01.01.2005;30.06.2009;Маневровое движение
55000586;01.01.2005;01.04.2009;Экипировка лок-в и вспомог.участки раб.
55000587;01.02.2006;31.03.2009;Отделение по ремонту электрич. машин
55000590;01.07.2006;14.07.2011;Производст.участок СЦБ ст.АчинскI-3974км
55000591;01.07.2006;31.01.2010;Производст.участок СЦБ ст.Ачинск II-64км
55000591;01.02.2010;30.06.2011;Производст.участок СЦБ Ачинск -46 км
55000592;01.07.2006;30.06.2011;Производст.участок СЦБ ст.Н.Еловка-Лесо
55000593;01.07.2006;30.06.2011;Ремонтно-технологич.участок ст.АчинскI
55000594;01.01.2005;30.06.2009;Грузовое движение
55000595;01.01.2005;30.06.2009;Хозяйственное движение
55000596;01.01.2005;30.06.2009;Маневровое движение
55000597;01.01.2005;01.04.2009;Эксплуатационный участок Большая  Ирба
55000598;01.01.2005;30.06.2009;Грузовое движение
55000599;01.01.2005;30.06.2009;Пассажирское движение
55000600;01.01.2005;30.06.2009;Хозяйственное движение
55000601;01.01.2005;30.06.2009;Маневровое движение
